date,revenue,expenses,ebitda,cash_flow
2024-01-01,1200000,850000,350000,280000
2024-02-01,1250000,880000,370000,290000
2024-03-01,1300000,920000,380000,310000
2024-04-01,1180000,870000,310000,260000
2024-05-01,1350000,940000,410000,330000
2024-06-01,1420000,980000,440000,360000
2024-07-01,1390000,960000,430000,350000
2024-08-01,1450000,1010000,440000,370000
2024-09-01,1500000,1050000,450000,380000
2024-10-01,1480000,1030000,450000,370000
2024-11-01,1520000,1060000,460000,385000
2024-12-01,1600000,1100000,500000,420000
