date,revenue,expenses,ebitda,cash_flow
2020-01-01,787994,624939,163055,120258
2020-02-01,845507,667380,178127,126369
2020-03-01,927842,727124,200718,148682
2020-04-01,795629,624707,170922,132383
2020-05-01,874131,661349,212783,156302
2020-06-01,978269,745599,232670,182334
2020-07-01,950456,732123,218332,167870
2020-08-01,933711,713905,219807,169421
2020-09-01,1138851,867799,271052,208985
2020-10-01,1075252,827562,247690,183203
2020-11-01,1154975,857077,297898,210804
2020-12-01,1311039,977267,333772,264033
2021-01-01,1106541,818071,288470,228833
2021-02-01,1114788,834285,280503,215862
2021-03-01,1254873,947526,307347,244071
2021-04-01,1226204,920410,305794,242563
2021-05-01,1251474,918356,333118,257745
2021-06-01,1402945,1032816,370129,311941
2021-07-01,1233702,894455,339247,274322
2021-08-01,1308160,966996,341164,277397
2021-09-01,1506825,1101159,405666,309125
2021-10-01,1374241,1015961,358280,273799
2021-11-01,1476435,1077825,398610,316500
2021-12-01,1737035,1270277,466757,401607
2022-01-01,1415515,1015265,400250,317637
2022-02-01,1426184,1042707,383477,305334
2022-03-01,1585598,1153038,432559,343953
2022-04-01,1527185,1270962,256223,202189
2022-05-01,1576386,1135454,440932,373779
2022-06-01,1738012,1246258,491754,405863
2022-07-01,1605542,1158783,446759,371152
2022-08-01,1542373,1110897,431476,360822
2022-09-01,1859318,1319080,540238,474442
2022-10-01,1703753,1233636,470117,392677
2022-11-01,1795543,1249137,546406,454291
2022-12-01,2163962,1544086,619877,530192
2023-01-01,1619304,1151591,467713,399811
2023-02-01,1750957,1219888,531069,447978
2023-03-01,2005454,1386302,619152,517324
2023-04-01,1921113,1337199,583914,490441
2023-05-01,1936338,1330488,605850,519590
2023-06-01,1593976,1171681,422295,361012
2023-07-01,1983927,1388348,595578,531694
2023-08-01,1841672,1279624,562048,488274
2023-09-01,2254814,1530196,724618,644079
2023-10-01,2082219,1476099,606119,536117
2023-11-01,2172002,1494325,677676,566719
2023-12-01,2512499,1734325,778175,719365
2024-01-01,2006136,1392955,613181,510928
2024-02-01,2087394,1446376,641017,576200
2024-03-01,2364661,1629553,735108,625213
2024-04-01,2231004,1547723,683281,612097
2024-05-01,2834145,2079783,754362,669824
2024-06-01,2516761,1760411,756349,684222
2024-07-01,2241084,1584848,656237,589114
2024-08-01,2217735,1523272,694463,648467
2024-09-01,2559828,1766498,793330,736980
2024-10-01,2386581,1593997,792585,719414
2024-11-01,2557543,1733978,823565,760578
2024-12-01,2970163,2000919,969244,885881
